DATE,DGS10
2014-11-01,2.18
2014-12-01,2.17
2015-01-01,1.68
2015-02-01,2.00
2015-03-01,1.94
2015-04-01,2.05
2015-05-01,2.12
2015-06-01,2.35
2015-07-01,2.20
2015-08-01,2.21
2015-09-01,2.06
2015-10-01,2.16
2015-11-01,2.21
2015-12-01,2.27
2016-01-01,1.94
2016-02-01,1.74
2016-03-01,1.78
2016-04-01,1.83
2016-05-01,1.84
2016-06-01,1.49
2016-07-01,1.46
2016-08-01,1.58
2016-09-01,1.60
2016-10-01,1.84
2016-11-01,2.37
2016-12-01,2.45
2017-01-01,2.45
2017-02-01,2.36
2017-03-01,2.40
2017-04-01,2.29
2017-05-01,2.21
2017-06-01,2.31
2017-07-01,2.30
2017-08-01,2.12
2017-09-01,2.33
2017-10-01,2.38
2017-11-01,2.42
2017-12-01,2.40
2018-01-01,2.72
2018-02-01,2.87
2018-03-01,2.74
2018-04-01,2.95
2018-05-01,2.83
2018-06-01,2.85
2018-07-01,2.96
2018-08-01,2.86
2018-09-01,3.05
2018-10-01,3.15
2018-11-01,3.01
2018-12-01,2.69
2019-01-01,2.63
2019-02-01,2.73
2019-03-01,2.41
2019-04-01,2.51
2019-05-01,2.14
2019-06-01,2.00
2019-07-01,2.02
2019-08-01,1.50
2019-09-01,1.68
2019-10-01,1.69
2019-11-01,1.78
2019-12-01,1.92
2020-01-01,1.51
2020-02-01,1.13
2020-03-01,0.70
2020-04-01,0.64
2020-05-01,0.65
2020-06-01,0.66
2020-07-01,0.55
2020-08-01,0.72
2020-09-01,0.69
2020-10-01,0.88
2020-11-01,0.84
2020-12-01,0.93
2021-01-01,1.11
2021-02-01,1.44
2021-03-01,1.74
2021-04-01,1.65
2021-05-01,1.58
2021-06-01,1.45
2021-07-01,1.24
2021-08-01,1.30
2021-09-01,1.52
2021-10-01,1.55
2021-11-01,1.43
2021-12-01,1.52
2022-01-01,1.79
2022-02-01,1.83
2022-03-01,2.32
2022-04-01,2.89
2022-05-01,2.85
2022-06-01,2.98
2022-07-01,2.67
2022-08-01,3.15
2022-09-01,3.83
2022-10-01,4.10
2022-11-01,3.68
2022-12-01,3.88
2023-01-01,3.52
2023-02-01,3.92
2023-03-01,3.48
2023-04-01,3.44
2023-05-01,3.64
2023-06-01,3.81
2023-07-01,3.97
2023-08-01,4.09
2023-09-01,4.59
2023-10-01,4.88
2023-11-01,4.37
2023-12-01,3.88
2024-01-01,3.99
2024-02-01,4.25
2024-03-01,4.2
2024-04-01,4.69
2024-05-01,4.51
2024-06-01,4.36
2024-07-01,4.09
2024-08-01,3.91
